004030D8       0 /db/export/parahome/simplescalar/benchmarks/mibench/telecomm/CRC32/input_large.asc
Cache il1:
Cache Set #0: misses - 1, hits - 60
Cache Set #1: misses - 2, hits - 59
Cache Set #2: misses - 6, hits - 94
Cache Set #3: misses - 6, hits - 74
Cache Set #4: misses - 4, hits - 32
Cache Set #5: misses - 3, hits - 40
Cache Set #6: misses - 2, hits - 48
Cache Set #7: misses - 7, hits - 56
Cache Set #8: misses - 7, hits - 48
Cache Set #9: misses - 6, hits - 60
Cache Set #10: misses - 7, hits - 57
Cache Set #11: misses - 4, hits - 46
Cache Set #12: misses - 4, hits - 176
Cache Set #13: misses - 3, hits - 98
Cache Set #14: misses - 3, hits - 37
Cache Set #15: misses - 4, hits - 27
Cache Set #16: misses - 2, hits - 26
Cache Set #17: misses - 4, hits - 83
Cache Set #18: misses - 7, hits - 157
Cache Set #19: misses - 8, hits - 116
Cache Set #20: misses - 7, hits - 158
Cache Set #21: misses - 5, hits - 348
Cache Set #22: misses - 6, hits - 175
Cache Set #23: misses - 4, hits - 39
Cache Set #24: misses - 5, hits - 60
Cache Set #25: misses - 4, hits - 62
Cache Set #26: misses - 6, hits - 73
Cache Set #27: misses - 7, hits - 105
Cache Set #28: misses - 8, hits - 69
Cache Set #29: misses - 8, hits - 84
Cache Set #30: misses - 8, hits - 97
Cache Set #31: misses - 3, hits - 70
Cache Set #32: misses - 6, hits - 111
Cache Set #33: misses - 6, hits - 110
Cache Set #34: misses - 8, hits - 124
Cache Set #35: misses - 7, hits - 45
Cache Set #36: misses - 3, hits - 13
Cache Set #37: misses - 2, hits - 19
Cache Set #38: misses - 2, hits - 8
Cache Set #39: misses - 1, hits - 7
Cache Set #40: misses - 1, hits - 8
Cache Set #41: misses - 1, hits - 8
Cache Set #42: misses - 3, hits - 28
Cache Set #43: misses - 3, hits - 49
Cache Set #44: misses - 5, hits - 161
Cache Set #45: misses - 5, hits - 340
Cache Set #46: misses - 8, hits - 117
Cache Set #47: misses - 9, hits - 146
Cache Set #48: misses - 7, hits - 240
Cache Set #49: misses - 7, hits - 271
Cache Set #50: misses - 5, hits - 262
Cache Set #51: misses - 7, hits - 252
Cache Set #52: misses - 4, hits - 167
Cache Set #53: misses - 4, hits - 115
Cache Set #54: misses - 5, hits - 131
Cache Set #55: misses - 4, hits - 99
Cache Set #56: misses - 4, hits - 52
Cache Set #57: misses - 4, hits - 42
Cache Set #58: misses - 4, hits - 47
Cache Set #59: misses - 4, hits - 39
Cache Set #60: misses - 4, hits - 39
Cache Set #61: misses - 2, hits - 8
Cache Set #62: misses - 3, hits - 37
Cache Set #63: misses - 8, hits - 53
