Usage: fft <waves> <length> -i
-i performs an inverse fft
make <waves> random sinusoids<length> is the number of samples
Cache il1:
Cache Set #0: misses - 3, hits - 42
Cache Set #1: misses - 3, hits - 62
Cache Set #2: misses - 2, hits - 51
Cache Set #3: misses - 2, hits - 38
Cache Set #4: misses - 2, hits - 41
Cache Set #5: misses - 3, hits - 57
Cache Set #6: misses - 4, hits - 101
Cache Set #7: misses - 4, hits - 151
Cache Set #8: misses - 5, hits - 141
Cache Set #9: misses - 5, hits - 115
Cache Set #10: misses - 6, hits - 92
Cache Set #11: misses - 6, hits - 97
Cache Set #12: misses - 4, hits - 85
Cache Set #13: misses - 4, hits - 80
Cache Set #14: misses - 4, hits - 86
Cache Set #15: misses - 4, hits - 79
Cache Set #16: misses - 5, hits - 45
Cache Set #17: misses - 3, hits - 117
Cache Set #18: misses - 3, hits - 240
Cache Set #19: misses - 3, hits - 140
Cache Set #20: misses - 3, hits - 69
Cache Set #21: misses - 2, hits - 77
Cache Set #22: misses - 2, hits - 116
Cache Set #23: misses - 9, hits - 83
Cache Set #24: misses - 2, hits - 88
Cache Set #25: misses - 2, hits - 60
Cache Set #26: misses - 1, hits - 18
Cache Set #27: misses - 2, hits - 47
Cache Set #28: misses - 2, hits - 92
Cache Set #29: misses - 10, hits - 82
Cache Set #30: misses - 4, hits - 96
Cache Set #31: misses - 10, hits - 79
Cache Set #32: misses - 15, hits - 68
Cache Set #33: misses - 3, hits - 103
Cache Set #34: misses - 2, hits - 102
Cache Set #35: misses - 2, hits - 85
Cache Set #36: misses - 13, hits - 117
Cache Set #37: misses - 13, hits - 87
Cache Set #38: misses - 3, hits - 58
Cache Set #39: misses - 2, hits - 32
Cache Set #40: misses - 2, hits - 14
Cache Set #41: misses - 1, hits - 0
Cache Set #42: misses - 0, hits - 0
Cache Set #43: misses - 1, hits - 240
Cache Set #44: misses - 1, hits - 359
Cache Set #45: misses - 1, hits - 792
Cache Set #46: misses - 2, hits - 616
Cache Set #47: misses - 2, hits - 679
Cache Set #48: misses - 2, hits - 369
Cache Set #49: misses - 4, hits - 237
Cache Set #50: misses - 4, hits - 193
Cache Set #51: misses - 3, hits - 73
Cache Set #52: misses - 2, hits - 69
Cache Set #53: misses - 2, hits - 73
Cache Set #54: misses - 2, hits - 58
Cache Set #55: misses - 1, hits - 47
Cache Set #56: misses - 2, hits - 37
Cache Set #57: misses - 2, hits - 61
Cache Set #58: misses - 2, hits - 85
Cache Set #59: misses - 2, hits - 44
Cache Set #60: misses - 4, hits - 14
Cache Set #61: misses - 2, hits - 24
Cache Set #62: misses - 2, hits - 52
Cache Set #63: misses - 4, hits - 58
Cache Set #64: misses - 3, hits - 108
Cache Set #65: misses - 4, hits - 79
Cache Set #66: misses - 4, hits - 67
Cache Set #67: misses - 4, hits - 57
Cache Set #68: misses - 2, hits - 70
Cache Set #69: misses - 2, hits - 36
Cache Set #70: misses - 2, hits - 57
Cache Set #71: misses - 1, hits - 41
Cache Set #72: misses - 1, hits - 34
Cache Set #73: misses - 1, hits - 18
Cache Set #74: misses - 0, hits - 0
Cache Set #75: misses - 1, hits - 44
Cache Set #76: misses - 2, hits - 38
Cache Set #77: misses - 2, hits - 34
Cache Set #78: misses - 1, hits - 18
Cache Set #79: misses - 1, hits - 16
Cache Set #80: misses - 1, hits - 7
Cache Set #81: misses - 2, hits - 38
Cache Set #82: misses - 3, hits - 48
Cache Set #83: misses - 3, hits - 47
Cache Set #84: misses - 4, hits - 47
Cache Set #85: misses - 3, hits - 56
Cache Set #86: misses - 3, hits - 45
Cache Set #87: misses - 3, hits - 49
Cache Set #88: misses - 3, hits - 58
Cache Set #89: misses - 3, hits - 64
Cache Set #90: misses - 4, hits - 61
Cache Set #91: misses - 4, hits - 28
Cache Set #92: misses - 4, hits - 68
Cache Set #93: misses - 4, hits - 76
Cache Set #94: misses - 3, hits - 93
Cache Set #95: misses - 3, hits - 51
Cache Set #96: misses - 3, hits - 20
Cache Set #97: misses - 1, hits - 30
Cache Set #98: misses - 2, hits - 45
Cache Set #99: misses - 2, hits - 16
Cache Set #100: misses - 0, hits - 0
Cache Set #101: misses - 1, hits - 18
Cache Set #102: misses - 1, hits - 53
Cache Set #103: misses - 1, hits - 68
Cache Set #104: misses - 3, hits - 101
Cache Set #105: misses - 5, hits - 87
Cache Set #106: misses - 2, hits - 60
Cache Set #107: misses - 1, hits - 821
Cache Set #108: misses - 1, hits - 3132
Cache Set #109: misses - 1, hits - 3147
