Usage: blowfish {e|d} <intput> <output> key
Cache il1:
Cache Set #0: misses - 2, hits - 24
Cache Set #1: misses - 2, hits - 28
Cache Set #2: misses - 1, hits - 801
Cache Set #3: misses - 4, hits - 3200
Cache Set #4: misses - 4, hits - 916
Cache Set #5: misses - 5, hits - 100
Cache Set #6: misses - 5, hits - 42
Cache Set #7: misses - 3, hits - 26
Cache Set #8: misses - 3, hits - 31
Cache Set #9: misses - 3, hits - 32
Cache Set #10: misses - 5, hits - 32
Cache Set #11: misses - 4, hits - 20
Cache Set #12: misses - 4, hits - 23
Cache Set #13: misses - 3, hits - 18
Cache Set #14: misses - 4, hits - 27
Cache Set #15: misses - 4, hits - 35
Cache Set #16: misses - 2, hits - 21
Cache Set #17: misses - 3, hits - 16
Cache Set #18: misses - 2, hits - 16
Cache Set #19: misses - 2, hits - 15
Cache Set #20: misses - 1, hits - 19
Cache Set #21: misses - 1, hits - 17
Cache Set #22: misses - 1, hits - 20
Cache Set #23: misses - 1, hits - 21
Cache Set #24: misses - 0, hits - 0
Cache Set #25: misses - 2, hits - 14
Cache Set #26: misses - 2, hits - 8
Cache Set #27: misses - 1, hits - 8
Cache Set #28: misses - 1, hits - 8
Cache Set #29: misses - 1, hits - 3
Cache Set #30: misses - 1, hits - 3
Cache Set #31: misses - 4, hits - 46
Cache Set #32: misses - 4, hits - 243
Cache Set #33: misses - 5, hits - 233
Cache Set #34: misses - 3, hits - 432
Cache Set #35: misses - 3, hits - 266
Cache Set #36: misses - 5, hits - 116
Cache Set #37: misses - 4, hits - 56
Cache Set #38: misses - 3, hits - 66
Cache Set #39: misses - 4, hits - 22
Cache Set #40: misses - 5, hits - 36
Cache Set #41: misses - 6, hits - 38
Cache Set #42: misses - 5, hits - 25
Cache Set #43: misses - 2, hits - 16
Cache Set #44: misses - 2, hits - 8
Cache Set #45: misses - 2, hits - 14
Cache Set #46: misses - 3, hits - 39
Cache Set #47: misses - 3, hits - 62
Cache Set #48: misses - 1, hits - 8
Cache Set #49: misses - 1, hits - 4
Cache Set #50: misses - 2, hits - 10
Cache Set #51: misses - 2, hits - 13
Cache Set #52: misses - 1, hits - 5
Cache Set #53: misses - 2, hits - 7
Cache Set #54: misses - 1, hits - 8
Cache Set #55: misses - 2, hits - 14
Cache Set #56: misses - 2, hits - 17
Cache Set #57: misses - 2, hits - 1
Cache Set #58: misses - 2, hits - 5
Cache Set #59: misses - 1, hits - 8
Cache Set #60: misses - 1, hits - 6
Cache Set #61: misses - 3, hits - 11
Cache Set #62: misses - 2, hits - 15
Cache Set #63: misses - 3, hits - 16
Cache Set #64: misses - 3, hits - 33
Cache Set #65: misses - 3, hits - 53
Cache Set #66: misses - 2, hits - 44
Cache Set #67: misses - 2, hits - 37
Cache Set #68: misses - 1, hits - 27
Cache Set #69: misses - 1, hits - 17
Cache Set #70: misses - 3, hits - 48
Cache Set #71: misses - 3, hits - 53
Cache Set #72: misses - 2, hits - 31
Cache Set #73: misses - 2, hits - 21
Cache Set #74: misses - 2, hits - 35
Cache Set #75: misses - 1, hits - 8
Cache Set #76: misses - 1, hits - 8
Cache Set #77: misses - 2, hits - 16
Cache Set #78: misses - 2, hits - 17
Cache Set #79: misses - 2, hits - 14
Cache Set #80: misses - 3, hits - 18
Cache Set #81: misses - 3, hits - 26
Cache Set #82: misses - 3, hits - 45
Cache Set #83: misses - 3, hits - 33
Cache Set #84: misses - 2, hits - 24
Cache Set #85: misses - 1, hits - 16
Cache Set #86: misses - 1, hits - 9
Cache Set #87: misses - 3, hits - 10
Cache Set #88: misses - 2, hits - 20
Cache Set #89: misses - 2, hits - 22
Cache Set #90: misses - 2, hits - 13
Cache Set #91: misses - 1, hits - 3
Cache Set #92: misses - 1, hits - 2
Cache Set #93: misses - 2, hits - 30
Cache Set #94: misses - 2, hits - 2
Cache Set #95: misses - 2, hits - 24
