Cache il1:
Cache Set #0: misses - 4, hits - 35
Cache Set #1: misses - 4, hits - 31
Cache Set #2: misses - 2, hits - 20
Cache Set #3: misses - 4, hits - 41
Cache Set #4: misses - 2, hits - 35
Cache Set #5: misses - 5, hits - 28
Cache Set #6: misses - 6, hits - 85
Cache Set #7: misses - 6, hits - 71
Cache Set #8: misses - 3, hits - 61
Cache Set #9: misses - 4, hits - 59
Cache Set #10: misses - 6, hits - 117
Cache Set #11: misses - 10, hits - 71
Cache Set #12: misses - 9, hits - 50
Cache Set #13: misses - 8, hits - 100
Cache Set #14: misses - 9, hits - 336
Cache Set #15: misses - 8, hits - 216
Cache Set #16: misses - 7, hits - 112
Cache Set #17: misses - 8, hits - 74
Cache Set #18: misses - 5, hits - 132
Cache Set #19: misses - 3, hits - 113
Cache Set #20: misses - 3, hits - 60
Cache Set #21: misses - 4, hits - 80
Cache Set #22: misses - 6, hits - 135
Cache Set #23: misses - 6, hits - 66
Cache Set #24: misses - 6, hits - 104
Cache Set #25: misses - 5, hits - 102
Cache Set #26: misses - 4, hits - 2640
Cache Set #27: misses - 3, hits - 2769
Cache Set #28: misses - 6, hits - 434
Cache Set #29: misses - 11, hits - 810
Cache Set #30: misses - 9, hits - 726
Cache Set #31: misses - 9, hits - 940
Cache Set #32: misses - 11, hits - 798
Cache Set #33: misses - 11, hits - 392
Cache Set #34: misses - 11, hits - 177
Cache Set #35: misses - 11, hits - 243
Cache Set #36: misses - 10, hits - 83
Cache Set #37: misses - 10, hits - 70
Cache Set #38: misses - 8, hits - 37
Cache Set #39: misses - 5, hits - 44
Cache Set #40: misses - 5, hits - 49
Cache Set #41: misses - 8, hits - 84
Cache Set #42: misses - 12, hits - 110
Cache Set #43: misses - 11, hits - 98
Cache Set #44: misses - 10, hits - 79
Cache Set #45: misses - 8, hits - 72
Cache Set #46: misses - 9, hits - 77
Cache Set #47: misses - 9, hits - 81
Cache Set #48: misses - 10, hits - 97
Cache Set #49: misses - 6, hits - 108
Cache Set #50: misses - 6, hits - 147
Cache Set #51: misses - 8, hits - 117
Cache Set #52: misses - 8, hits - 85
Cache Set #53: misses - 6, hits - 97
