usage: rijndael in_filename out_filename [d/e] key_in_hex
Cache il1:
Cache Set #0: misses - 4, hits - 33
Cache Set #1: misses - 3, hits - 32
Cache Set #2: misses - 4, hits - 64
Cache Set #3: misses - 4, hits - 3152
Cache Set #4: misses - 4, hits - 3162
Cache Set #5: misses - 7, hits - 3208
Cache Set #6: misses - 6, hits - 565
Cache Set #7: misses - 9, hits - 101
Cache Set #8: misses - 6, hits - 182
Cache Set #9: misses - 4, hits - 92
Cache Set #10: misses - 4, hits - 42
Cache Set #11: misses - 2, hits - 43
Cache Set #12: misses - 5, hits - 25
Cache Set #13: misses - 3, hits - 40
Cache Set #14: misses - 7, hits - 93
Cache Set #15: misses - 7, hits - 97
Cache Set #16: misses - 6, hits - 56
Cache Set #17: misses - 3, hits - 18
Cache Set #18: misses - 5, hits - 45
Cache Set #19: misses - 3, hits - 51
Cache Set #20: misses - 4, hits - 100
Cache Set #21: misses - 3, hits - 105
Cache Set #22: misses - 3, hits - 76
Cache Set #23: misses - 2, hits - 24
Cache Set #24: misses - 0, hits - 0
Cache Set #25: misses - 0, hits - 0
Cache Set #26: misses - 0, hits - 0
Cache Set #27: misses - 0, hits - 0
Cache Set #28: misses - 1, hits - 4
Cache Set #29: misses - 1, hits - 10
Cache Set #30: misses - 1, hits - 8
Cache Set #31: misses - 1, hits - 0
Cache Set #32: misses - 0, hits - 0
Cache Set #33: misses - 0, hits - 0
Cache Set #34: misses - 0, hits - 0
Cache Set #35: misses - 0, hits - 0
Cache Set #36: misses - 1, hits - 4
Cache Set #37: misses - 1, hits - 9
Cache Set #38: misses - 1, hits - 9
Cache Set #39: misses - 1, hits - 8
Cache Set #40: misses - 1, hits - 8
Cache Set #41: misses - 1, hits - 0
Cache Set #42: misses - 1, hits - 7
Cache Set #43: misses - 2, hits - 15
Cache Set #44: misses - 2, hits - 40
Cache Set #45: misses - 5, hits - 66
Cache Set #46: misses - 5, hits - 116
Cache Set #47: misses - 5, hits - 98
Cache Set #48: misses - 5, hits - 58
Cache Set #49: misses - 2, hits - 55
Cache Set #50: misses - 3, hits - 55
Cache Set #51: misses - 2, hits - 56
Cache Set #52: misses - 3, hits - 43
Cache Set #53: misses - 2, hits - 57
Cache Set #54: misses - 2, hits - 51
Cache Set #55: misses - 2, hits - 44
Cache Set #56: misses - 2, hits - 27
Cache Set #57: misses - 3, hits - 25
Cache Set #58: misses - 4, hits - 31
Cache Set #59: misses - 3, hits - 0
Cache Set #60: misses - 2, hits - 12
Cache Set #61: misses - 2, hits - 19
Cache Set #62: misses - 2, hits - 28
Cache Set #63: misses - 2, hits - 36
Cache Set #64: misses - 4, hits - 122
Cache Set #65: misses - 4, hits - 197
Cache Set #66: misses - 2, hits - 411
Cache Set #67: misses - 2, hits - 406
Cache Set #68: misses - 1, hits - 408
Cache Set #69: misses - 2, hits - 192
Cache Set #70: misses - 3, hits - 118
Cache Set #71: misses - 3, hits - 125
Cache Set #72: misses - 3, hits - 18
Cache Set #73: misses - 4, hits - 36
Cache Set #74: misses - 4, hits - 32
Cache Set #75: misses - 3, hits - 33
Cache Set #76: misses - 5, hits - 45
Cache Set #77: misses - 5, hits - 52
Cache Set #78: misses - 4, hits - 42
Cache Set #79: misses - 4, hits - 40
Cache Set #80: misses - 4, hits - 49
Cache Set #81: misses - 4, hits - 69
Cache Set #82: misses - 4, hits - 109
Cache Set #83: misses - 5, hits - 83
Cache Set #84: misses - 6, hits - 35
Cache Set #85: misses - 3, hits - 21
Cache Set #86: misses - 2, hits - 8
Cache Set #87: misses - 2, hits - 17
Cache Set #88: misses - 2, hits - 26
Cache Set #89: misses - 2, hits - 21
Cache Set #90: misses - 2, hits - 16
Cache Set #91: misses - 3, hits - 10
Cache Set #92: misses - 2, hits - 16
Cache Set #93: misses - 2, hits - 16
Cache Set #94: misses - 3, hits - 35
Cache Set #95: misses - 3, hits - 45
Cache Set #96: misses - 3, hits - 55
Cache Set #97: misses - 3, hits - 35
Cache Set #98: misses - 2, hits - 31
Cache Set #99: misses - 2, hits - 9
Cache Set #100: misses - 0, hits - 0
Cache Set #101: misses - 1, hits - 3
Cache Set #102: misses - 1, hits - 11
Cache Set #103: misses - 1, hits - 11
Cache Set #104: misses - 1, hits - 12
Cache Set #105: misses - 1, hits - 1
Cache Set #106: misses - 0, hits - 0
Cache Set #107: misses - 0, hits - 0
Cache Set #108: misses - 0, hits - 0
Cache Set #109: misses - 1, hits - 24
Cache Set #110: misses - 2, hits - 47
Cache Set #111: misses - 2, hits - 39
Cache Set #112: misses - 2, hits - 22
Cache Set #113: misses - 2, hits - 15
Cache Set #114: misses - 2, hits - 14
Cache Set #115: misses - 2, hits - 16
Cache Set #116: misses - 2, hits - 8
Cache Set #117: misses - 2, hits - 8
Cache Set #118: misses - 1, hits - 11
Cache Set #119: misses - 1, hits - 1
Cache Set #120: misses - 1, hits - 14
Cache Set #121: misses - 2, hits - 20
Cache Set #122: misses - 3, hits - 26
Cache Set #123: misses - 3, hits - 32
Cache Set #124: misses - 3, hits - 23
Cache Set #125: misses - 1, hits - 5
Cache Set #126: misses - 1, hits - 27
Cache Set #127: misses - 2, hits - 52
Cache dl1:
Cache Set #0: misses - 3, hits - 57
Cache Set #1: misses - 3, hits - 54
Cache Set #2: misses - 3, hits - 71
Cache Set #3: misses - 2, hits - 30
Cache Set #4: misses - 2, hits - 30
Cache Set #5: misses - 2, hits - 30
Cache Set #6: misses - 2, hits - 30
